called        = number of times a third party package calls the method
packages      = number of third party package that call the method
atom packages = number of packages from the atom org that call the method

Atom                               called packages atom packages
  ::constructor                    42     29       0
  ::constructor                    4      4        1

Marker                             called packages atom packages
  ::update                         ∞      0        0
  ::constructor                    3      3        1

Point                              called packages atom packages
  ::constructor                    ∞      0        0
  ::add                            ∞      0        0

Range                              called packages atom packages
  ::add                            ∞      0        0
  ::translate                      ∞      0        0
  ::constructor                    92     37       5

TextBuffer                         called packages atom packages
  ::load                           ∞      0        0
  ::destroy                        ∞      0        0
  ::getPath                        399    156      17
  ::change                         176    145      7
  ::retain                         60     3        0
  ::release                        33     5        2
  ::getBaseName                    11     6        1
  ::isAlive                        1      1        1
  ::matchesInCharacterRange        1      1        0
